tweet_id,text,favorite_count,retweet_count,created_at
1652757217517649920,"RT @Z__AC: #PMLN leaks: What foreign policy is best for Pakistan long term? 
#PTI leaks:
How to sabotage IMF deal?
How to intimidate/kill o…",0,19,Sun Apr 30 19:30:02 +0000 2023
1652756281919242246,"RT @irfanashraf36: Some hidden facts exposed by @SardarTanveerIK in a Live show today . 
#PTI 
#ImranKhan 
#PDM 

 #ShahidKhaqanAbbasi http…",0,6,Sun Apr 30 19:26:18 +0000 2023
1652756106114891778,"RT @irfanashraf36: Some hidden facts exposed by @SardarTanveerIK in a Live show today . 
#PTI 
#ImranKhan 
#PDM 

 #ShahidKhaqanAbbasi http…",0,6,Sun Apr 30 19:25:37 +0000 2023
1652756057838460929,"RT @irfanashraf36: Some hidden facts exposed by @SardarTanveerIK in a Live show today . 
#PTI 
#ImranKhan 
#PDM 

 #ShahidKhaqanAbbasi http…",0,6,Sun Apr 30 19:25:25 +0000 2023
1652755888707616769,"RT @irfanashraf36: Some hidden facts exposed by @SardarTanveerIK in a Live show today . 
#PTI 
#ImranKhan 
#PDM 

 #ShahidKhaqanAbbasi http…",0,6,Sun Apr 30 19:24:45 +0000 2023
1652755862564290561,"RT @irfanashraf36: Some hidden facts exposed by @SardarTanveerIK in a Live show today . 
#PTI 
#ImranKhan 
#PDM 

 #ShahidKhaqanAbbasi http…",0,6,Sun Apr 30 19:24:39 +0000 2023
1652755621643468801,"RT @irfanashraf36: Some hidden facts exposed by @SardarTanveerIK in a Live show today . 
#PTI 
#ImranKhan 
#PDM 

 #ShahidKhaqanAbbasi http…",0,6,Sun Apr 30 19:23:41 +0000 2023
1652755569818705926,"RT @KhubaibGill: I stand with @ch_AdilSaeed Gujjer  PP-201 #Elections2023
#PTI @Asad_Umar @ImranKhanPTI 
@RaiHassanNawaz1",0,1,Sun Apr 30 19:23:29 +0000 2023
1652754870481612805,"RT @Z__AC: #PMLN leaks: What foreign policy is best for Pakistan long term? 
#PTI leaks:
How to sabotage IMF deal?
How to intimidate/kill o…",0,19,Sun Apr 30 19:20:42 +0000 2023
1652752956050006016,"RT @Z__AC: #PMLN leaks: What foreign policy is best for Pakistan long term? 
#PTI leaks:
How to sabotage IMF deal?
How to intimidate/kill o…",0,19,Sun Apr 30 19:13:06 +0000 2023
1652752337239420929,"Some hidden facts exposed by @SardarTanveerIK in a Live show today . 
#PTI 
#ImranKhan 
#PDM 

 #ShahidKhaqanAbbasi https://t.co/plJpy2zhh7",7,6,Sun Apr 30 19:10:38 +0000 2023
1652752206980849664,"RT @Z__AC: #PMLN leaks: What foreign policy is best for Pakistan long term? 
#PTI leaks:
How to sabotage IMF deal?
How to intimidate/kill o…",0,19,Sun Apr 30 19:10:07 +0000 2023
1652751659217350656,"RT @Z__AC: #PMLN leaks: What foreign policy is best for Pakistan long term? 
#PTI leaks:
How to sabotage IMF deal?
How to intimidate/kill o…",0,19,Sun Apr 30 19:07:56 +0000 2023
1652750580400676864,RT @lucifer1970: I feel sorry for @Asad_Umar who is striving to become relevant ever since he was brutally the booted from the post of Mini…,0,14,Sun Apr 30 19:03:39 +0000 2023
1652750169920929792,"RT @Z__AC: #PMLN leaks: What foreign policy is best for Pakistan long term? 
#PTI leaks:
How to sabotage IMF deal?
How to intimidate/kill o…",0,19,Sun Apr 30 19:02:01 +0000 2023
1652749548769427457,"RT @najamsheraz: Allah hu Akbar 
This boy's eyes are so bright! 
Even with one hand he looks so positive and string that I apologies to All…",0,30,Sun Apr 30 18:59:33 +0000 2023
1652747419740930050,"ECP directs PTI to call off May 1 rally
https://t.co/WfLqxrq7ux
#ECP #PTI https://t.co/CERnaACpzL",0,0,Sun Apr 30 18:51:06 +0000 2023
1652746165740265472,@justujuuu VVIP Culture in one clip. Shabaash #PTI,0,0,Sun Apr 30 18:46:07 +0000 2023
1652745533599936512,"RT @Z__AC: #PMLN leaks: What foreign policy is best for Pakistan long term? 
#PTI leaks:
How to sabotage IMF deal?
How to intimidate/kill o…",0,19,Sun Apr 30 18:43:36 +0000 2023
1652745141550043136,"Most competent, passionate, loyal, hardworking, leader from #pp206  #khanewal @maharimrandhool. He has proven time… https://t.co/zBQRQzIVhW",0,0,Sun Apr 30 18:42:02 +0000 2023
1652743060940369921,RT @lucifer1970: I feel sorry for @Asad_Umar who is striving to become relevant ever since he was brutally the booted from the post of Mini…,0,14,Sun Apr 30 18:33:46 +0000 2023
1652742598266683402,"RT @amberdanishh: I made this vlog on December 29th, 2020 when #PTI accepted the incorrect results of Census2017 and concluded that Karachi…",0,21,Sun Apr 30 18:31:56 +0000 2023
1652742369270177792,Karachi which gives 65% revenue to #Pakistan is struggling to get its population counted correctly… https://t.co/oIk2B6ahq9,0,0,Sun Apr 30 18:31:01 +0000 2023
1652742295433920514,"RT @Z__AC: #PMLN leaks: What foreign policy is best for Pakistan long term? 
#PTI leaks:
How to sabotage IMF deal?
How to intimidate/kill o…",0,19,Sun Apr 30 18:30:44 +0000 2023
