tweet_id,text,favorite_count,retweet_count,created_at
1652738835434938369,US house representative says it was easy to deal with ShehbazSharif as compare to ImranKhan thats why we chang,3,3,Sun Apr 30 18:16:59 +0000 2023
1652738395183931395,PTI PTIOfficial imranKhanPTI ImranRiazKhan waqarmalik The love for Imran KhanPTI now transmitted into 3,0,0,Sun Apr 30 18:15:14 +0000 2023
1652738152694464512,AliAbbasZaidi amp unless they place themselves inside the walls with different rules laws community standards c,0,0,Sun Apr 30 18:14:16 +0000 2023
1652737627173408769,RT AsadAToor EXCLUSIVe In an explosive audio leak of Najam Saqib former Chief Justice SaqibNisar via his son taking millions from PT,0,1777,Sun Apr 30 18:12:11 +0000 2023
1652736591843016706,GermanyinPAK ImranKhanPTI This is good gesture ambassador The baseline is rule of law that must be enforced On,0,0,Sun Apr 30 18:08:04 +0000 2023
1652735827640832001,SyedMuzammilOFL Welcome to the From COAS to US to XYZ ABC and ultimately reaching your highness You too PTI killer Brutes,0,0,Sun Apr 30 18:05:02 +0000 2023
1652735019868119047,MashAllah best best leader ImranKhanPTI PMImranKhan PMIK reels viral ImranKhan ImranKhanPTI PTI,0,0,Sun Apr 30 18:01:49 +0000 2023
1652734128931086337,RT paro1 PTIpromotionFBparo1Iqra4291Mahi0J1IKshz7891AZMo28pti1H50k1fzall1tmy950nkGhz97paro2S1,0,69,Sun Apr 30 17:58:17 +0000 2023
1652734020612915201,soldierspeaks Ths spinz ma mindImranKhanPTI PTI,0,0,Sun Apr 30 17:57:51 +0000 2023
1652733945581060096,RT Emaan2 PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy 950nkGhz97,0,15,Sun Apr 30 17:57:33 +0000 2023
1652733921103335424,RT Emaan2 PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy 950nkGhz97,0,15,Sun Apr 30 17:57:27 +0000 2023
1652733592374501376,Very close family friend just revealed that iqrarulhassan had done grastic sleeve surgery Hes got evidence to su,0,0,Sun Apr 30 17:56:09 +0000 2023
1652733366763126785,Hats off to pti government and dr sania nishtar and this compare to free atta lines where 10 peoples died and wit,0,0,Sun Apr 30 17:55:15 +0000 2023
1652733156955398146,RT TheCurrentPK A United Kingdom UK High Court Judge has ruled that the words used by three Pakistan TehreekeInsaf PTI leaders ag,0,0,Sun Apr 30 17:54:25 +0000 2023
1652733113154379776,RT paro1 PTIpromotionFBparo1Iqra4291Mahi0J1IKshz7891AZMo28pti1H50k1fzall1tmy950nkGhz97paro2S1,0,69,Sun Apr 30 17:54:15 +0000 2023
1652731664898969602,RT TariqNaqash PakistanTehreekiInsaf is our party and ImranKhan is our leader I cannot even think of joining any other party Sa,0,0,Sun Apr 30 17:48:29 +0000 2023
1652728995949998082,World amp the region is getting ready fr grt game amp setting their directions right amp here in Pakistan the,6,2,Sun Apr 30 17:37:53 +0000 2023
1652727410389839873,RT AsadAToor EXCLUSIVe In an explosive audio leak of Najam Saqib former Chief Justice SaqibNisar via his son taking millions from PT,0,1777,Sun Apr 30 17:31:35 +0000 2023
1652726706762047488,Ch Nisar Ali Khan talking about Maryam Nawaz pti viral pakistanpolitics via YouTube,0,0,Sun Apr 30 17:28:47 +0000 2023
1652726311591239680,RT faisalgrewal My ultimate love for my Homeland my Pakistan my People my Armed Forces my Judiciary my Parliament my Establ,0,1,Sun Apr 30 17:27:13 +0000 2023
1652725092617531393,RT MinuteMirrorpk Ahsan Iqbal has termed the nonarrest of Imran Khan and Parvez Elahi despite police raids as drama of PTI supporters in,0,30,Sun Apr 30 17:22:22 +0000 2023
1652724659907854340,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 17:20:39 +0000 2023
1652722706201149441,RT najamsheraz Allah hu Akbar This boys eyes are so bright Even with one hand he looks so positive and string that I apologies to All,0,30,Sun Apr 30 17:12:53 +0000 2023
1652722670243557377,Major UK banks have announced the closure of many of their branches from next weekPakistan,0,0,Sun Apr 30 17:12:45 +0000 2023
1652721891478478849,RT Emaan2 PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy 950nkGhz97,0,15,Sun Apr 30 17:09:39 +0000 2023
1652721748448509955,RT Emaan2 PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy 950nkGhz97,0,15,Sun Apr 30 17:09:05 +0000 2023
1652721609315164160,RT Emaan2 PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy 950nkGhz97,0,15,Sun Apr 30 17:08:32 +0000 2023
1652721596895772673,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 17:08:29 +0000 2023
1652721015376744448,RT Emaan2 PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy 950nkGhz97,0,15,Sun Apr 30 17:06:10 +0000 2023
1652720817443053569,RT Emaan2 PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy 950nkGhz97,0,15,Sun Apr 30 17:05:23 +0000 2023
1652720594436120582,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 17:04:30 +0000 2023
1652720411442925568,RT Emaan2 PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy 950nkGhz97,0,15,Sun Apr 30 17:03:46 +0000 2023
1652719467787329538,Party Tickets Mai Dhandli Imran Khan Lailm News360Watch imrankhan imrankhanpti,3,0,Sun Apr 30 17:00:01 +0000 2023
1652718170430480386,RT Emaan2 PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy 950nkGhz97,0,15,Sun Apr 30 16:54:52 +0000 2023
1652717236594028545,RT nayadaurpk PTIs leadership is extremely worried that PDM would do the same to the economy near the end of their tenure as the PTI,0,3,Sun Apr 30 16:51:09 +0000 2023
1652716796561031169,RT deedavar Heres an Eid Milan PartyWhat n amazing gatheringMarks 1st Chapter of Election Drive in DHALahore by PTIDear Farhat,0,3,Sun Apr 30 16:49:24 +0000 2023
1652716318699794432,RT deedavar Heres an Eid Milan PartyWhat n amazing gatheringMarks 1st Chapter of Election Drive in DHALahore by PTIDear Farhat,0,3,Sun Apr 30 16:47:31 +0000 2023
1652716270155096065,RT nayadaurpk Yesterdays scenes from Gulberg were reminiscent of how the PunjabPolice tried and failed multiple times to arrest PTI c,0,1,Sun Apr 30 16:47:19 +0000 2023
1652715846471495682,RT deedavar Heres an Eid Milan PartyWhat n amazing gatheringMarks 1st Chapter of Election Drive in DHALahore by PTIDear Farhat,0,3,Sun Apr 30 16:45:38 +0000 2023
1652715415636967424,RT nayadaurpk Before being ousted from the prime ministers office ImranKhan used to ask what was the point in opposition politicians,0,4,Sun Apr 30 16:43:55 +0000 2023
1652715361207480320,RT nayadaurpk Before being ousted from the prime ministers office ImranKhan used to ask what was the point in opposition politicians,0,4,Sun Apr 30 16:43:42 +0000 2023
1652715172505567234,OmniscientXo Useless to give this dck attention Hr fuels his Twitter handle by talking crap against pti ignore this crook,0,0,Sun Apr 30 16:42:57 +0000 2023
1652715039114051585,Another eye opener for PTI supporters This happened during PTI govt But I guess some people just want to keep th,0,0,Sun Apr 30 16:42:25 +0000 2023
1652714506798104578,Fawad Chaudhry hints at another long march if PTI talks with govt fail FawadChaudhry PTI LongMarch,0,0,Sun Apr 30 16:40:19 +0000 2023
1652714438590595073,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 16:40:02 +0000 2023
1652714113305559040,RT osamayawar I never understood the politics of Wattoo family Are they PTI or PPP,0,1,Sun Apr 30 16:38:45 +0000 2023
1652713574048088067,I never understood the politics of Wattoo family Are they PTI or PPP,1,1,Sun Apr 30 16:36:36 +0000 2023
1652708843623706626,RT paro1 PTIpromotionFBparo1Iqra4291Mahi0J1IKshz7891AZMo28pti1H50k1fzall1tmy950nkGhz97paro2S1,0,69,Sun Apr 30 16:17:48 +0000 2023
1652708542694957057,RT Emaan2 PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy 950nkGhz97,0,15,Sun Apr 30 16:16:37 +0000 2023
1652708485795049472,RT paro1 PTIpromotionFBparo1Iqra4291Mahi0J1IKshz7891AZMo28pti1H50k1fzall1tmy950nkGhz97paro2S1,0,69,Sun Apr 30 16:16:23 +0000 2023
1652707833434058752,RT najamsheraz Allah hu Akbar This boys eyes are so bright Even with one hand he looks so positive and string that I apologies to All,0,30,Sun Apr 30 16:13:47 +0000 2023
1652707826588852224,RT Emaan2 PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy 950nkGhz97,0,15,Sun Apr 30 16:13:46 +0000 2023
1652707565342449664,And bloody Zias son is in your party Aijaz ul Haq PTI strange na,0,0,Sun Apr 30 16:12:44 +0000 2023
1652707507666665474,When the plane nose dives all passengers go down with it Among 300 Pakistanis who appeared in the Google Codi,0,0,Sun Apr 30 16:12:30 +0000 2023
1652707274224447488,RT lordsherrykhan Im not saying Imran Khan is Batman but have you ever seen them in the same room together ImranKhan PMofPak,0,3,Sun Apr 30 16:11:34 +0000 2023
1652707057672372227,RT AbihaZardari Accepting resignation of selected MNAs of PTI is an excellent job done by the speaker which must have been done months a,0,10,Sun Apr 30 16:10:43 +0000 2023
1652705342894080001,Baktarband on its way canal road PunjabPolice PTI PDMPTIBhaiBhai RanaSanaUllah ParvezElahi,0,0,Sun Apr 30 16:03:54 +0000 2023
1652705286413512708,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 16:03:40 +0000 2023
1652704803980722176,RT Emaan2 PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy 950nkGhz97,0,15,Sun Apr 30 16:01:45 +0000 2023
1652704431731884033,Both PDM and GHQ aint sincere to Pakistan then how can they be sincere while negotiating with PTI,0,0,Sun Apr 30 16:00:16 +0000 2023
1652703917262913537,If the negotiations with the government fail there will be a historic long march FawadChaudhry PTI wants the s,0,0,Sun Apr 30 15:58:14 +0000 2023
1652703871092011009,From the audio clip the PTI leadership has also been exposed along with the former ChiefJustice KhawajaAsif PT,0,0,Sun Apr 30 15:58:03 +0000 2023
1652703474662998016,RT SaleemFarrukh ALERT PTI is putting critical Pakistani institutions at risk with their dangerous political agenda Theyre spreadi,0,419,Sun Apr 30 15:56:28 +0000 2023
1652703153459003398,RT ThebetterPak Toyota Indus Motor Company IMC in Pakistan has declared another round of nonproduction days NPDs in May due to oper,0,1,Sun Apr 30 15:55:12 +0000 2023
1652702622942625793,PTIpromotionFBEmaan2paro1Iqra429 1Mahi0J1IKshz7891AZMo 28pti1H50k1fzall1tmy,15,15,Sun Apr 30 15:53:05 +0000 2023
1652701339506311168,RT paro1 PTIpromotionFBparo1Iqra4291Mahi0J1IKshz7891AZMo28pti1H50k1fzall1tmy950nkGhz97paro2S1,0,69,Sun Apr 30 15:47:59 +0000 2023
1652700739209252865,LIVE Chairman PTI Imran Khans Interactive Session with Workers IMPORTANCE OF LABOUR Zaman Park Electio,1,0,Sun Apr 30 15:45:36 +0000 2023
1652698671744532481,RT O4optimist A rational analysis of soldier is right but general is wrong narrativeShahidKhaqanAbbasi PDMPTIBhaiBhai PakAr,0,1,Sun Apr 30 15:37:23 +0000 2023
1652697329525293056,ImranRiazKhan This all is a properly organized mafia having very strong pockets in Civil amp Military Bureaucracy,0,0,Sun Apr 30 15:32:03 +0000 2023
1652696203350642688,Audio leaks PTIs investigation does not find exCJP Saqib Nisars son guiltyPTI,0,0,Sun Apr 30 15:27:35 +0000 2023
1652694751160815616,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 15:21:48 +0000 2023
1652693944663416833,Import of cheap LPG from Turkmenistan to Pakistan via Afghanistan has startedPakistan Afghanistan,0,0,Sun Apr 30 15:18:36 +0000 2023
1652692931923394562,A rational analysis of soldier is right but general is wrong narrativeShahidKhaqanAbbasi PDMPTIBhaiBhai,0,1,Sun Apr 30 15:14:35 +0000 2023
1652691958392033280,Who the hell is ECP to stop the rally on LaborDay2023 by PTIOfficial Under which law Where are the Fundamental,1,0,Sun Apr 30 15:10:43 +0000 2023
1652691712991453191,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 15:09:44 +0000 2023
1652690593443889152,PTI govt with stopped work on CPEC projects Khawaja AsifAPPNews CPEC PTI KhawajaMAsif pmlnorg,1,0,Sun Apr 30 15:05:17 +0000 2023
1652689024023240705,RT paro1 PTIpromotionFBparo1Iqra4291Mahi0J1IKshz7891AZMo28pti1H50k1fzall1tmy950nkGhz97paro2S1,0,69,Sun Apr 30 14:59:03 +0000 2023
1652689005736235009,A lovely moment at the Eid Milan Party cum Election Drive in DHA Lahore by PTI LahoreEveryone stands to honor t,1,0,Sun Apr 30 14:58:59 +0000 2023
1652689001634222081,Mr AliWaraichPTI addressing the DHA residents in Lahore DHA on Saturday 29 April 2023While Mr,1,0,Sun Apr 30 14:58:58 +0000 2023
1652688996718485506,FarhatAbbasPTI amp AliWaraichPTI with happy moods amp vibes in Lahore DHA on Saturday 29 April 2023It was an Ei,0,0,Sun Apr 30 14:58:56 +0000 2023
1652688984877981701,Heres an Eid Milan PartyWhat n amazing gatheringMarks 1st Chapter of Election Drive in DHALahore by PTIDea,5,3,Sun Apr 30 14:58:54 +0000 2023
1652688784062816259,Its started when you puppet people PTI were in Govt,0,0,Sun Apr 30 14:58:06 +0000 2023
1652686028224753664,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 14:47:09 +0000 2023
1652685851523002378,RT DocShahkar I dont understand the logic of Molana who was insisting on preelections but now he is running away from the electionS,0,1,Sun Apr 30 14:46:27 +0000 2023
1652684739227025409,Election Campiengn Pti officials Ruksana NaveedPti officials Imran khan,3,0,Sun Apr 30 14:42:01 +0000 2023
1652684417100402690,RT lucifer1970 I feel sorry for AsadUmar who is striving to become relevant ever since he was brutally the booted from the post of Mini,0,14,Sun Apr 30 14:40:45 +0000 2023
1652684191346180098,RT lucifer1970 I feel sorry for AsadUmar who is striving to become relevant ever since he was brutally the booted from the post of Mini,0,14,Sun Apr 30 14:39:51 +0000 2023
1652683449868914688,RT lucifer1970 I feel sorry for AsadUmar who is striving to become relevant ever since he was brutally the booted from the post of Mini,0,14,Sun Apr 30 14:36:54 +0000 2023
1652683434438066177,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 14:36:50 +0000 2023
1652681765558030342,If assemblies dissolved by May 14 ready for joint election in Pakistan Imran Khanimrankhan pti news,1,0,Sun Apr 30 14:30:12 +0000 2023
1652681027930734592,RT lucifer1970 I feel sorry for AsadUmar who is striving to become relevant ever since he was brutally the booted from the post of Mini,0,14,Sun Apr 30 14:27:17 +0000 2023
1652680123177484289,RT lucifer1970 I feel sorry for AsadUmar who is striving to become relevant ever since he was brutally the booted from the post of Mini,0,14,Sun Apr 30 14:23:41 +0000 2023
1652679689897377794,AlaviRehan You should ask ur party leadership of PTI if anyone like asad umar or ali zaidi have asked NadraPak,0,0,Sun Apr 30 14:21:58 +0000 2023
1652677897600024576,RT AsadAToor EXCLUSIVe In an explosive audio leak of Najam Saqib former Chief Justice SaqibNisar via his son taking millions from PT,0,1777,Sun Apr 30 14:14:50 +0000 2023
1652677892579442688,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 14:14:49 +0000 2023
